drug,condition,rating,side_effects,helped,sentiment
Ortho Micronor,Birth Control,4,"['irregular menstrual bleeding', 'frequent periods']",False,negative
Reglan,Nausea/Vomiting,10,['minor side effect (unspecified)'],True,positive
Hydroxyzine,Anxiety,10,"['tiredness', 'fatigue']",True,positive
Macrobid,Urinary Tract Infection,1,"['lung scarring', 'severe hypoxia', 'low oxygen saturation']",False,negative
Sumatriptan,Cluster Headaches,9,[],True,positive
Percocet,Chronic Pain,6,[],True,mixed
Doxepin,Insomnia,9,"['tolerance', 'morning hangover', 'slow onset of action', 'withdrawal-related middle-of-the-night awakenings']",True,mixed
Varenicline,Smoking Cessation,10,"['nausea', 'gas', 'tiredness', 'vivid dreams']",True,positive
Implanon,Birth Control,9,"['prolonged menstrual period (2 weeks duration)', 'insertion site scar']",True,positive
Ortho Tri-Cyclen,Ovarian Cysts,10,"['mood swings', 'sadness', 'crying', 'weight gain', 'inability to lose weight', 'abnormal hormonal level']",True,mixed
Darifenacin,Overactive Bladde,8,['edema of feet and legs'],True,mixed
Amitriptyline,Migraine Prevention,1,"['dizziness', 'lightheadedness', 'orthostatic hypotension', 'vivid dreams', 'nightmares', 'sleep avoidance', 'abdominal pain', 'near syncope']",False,negative
Zarah,Birth Control,10,[],True,positive
Lortab,Pain,6,[],True,positive
Topiramate,Obesity,10,['altered taste perception'],True,positive
Ziprasidone,Schizoaffective Disorde,10,[],True,positive
"Multivitamin, prenatal",Vitamin/Mineral Supplementation during Pregnancy/Lactation,9,[],True,positive
Oxycodone,Chronic Pain,10,"['grogginess', 'brain fog', 'cognitive dulling']",False,negative
Methadone,Pain,10,[],True,positive
Meloxicam,ibromyalgia,7,[],True,mixed
Ethinyl estradiol / norethindrone,Birth Control,7,['decreased libido'],True,mixed
Doxycycline,Acne,5,[],True,mixed
Suprep Bowel Prep Kit,Bowel Preparation,9,['diarrhea'],True,positive
NP Thyroid,Hashimoto's disease,5,"['stroke symptoms', 'elevated T4 levels']",False,negative
Elavil,Pain,5,[],True,positive
ParaGard,Birth Control,1,"['severe pain', 'copper toxicity', 'loss of quality of life', 'emotional distress', 'depression/loss of smile']",False,negative
Dulcolax,Constipation,10,"['helplessness', 'extreme pain', 'nausea', 'fainting', 'vomiting', 'diarrhea', 'fatigue', 'weakness']",True,mixed
Ropinirole,Restless Legs Syndrome,10,[],True,positive
Zoloft,Depression,10,[],True,positive
Methylprednisolone,Inflammatory Conditions,9,"['fatigue', 'back pain', 'headache', 'nausea', 'insomnia']",True,positive
Linaclotide,Irritable Bowel Syndrome,10,[],True,positive
Acetaminophen / diphenhydramine,Insomnia,1,"['restlessness', 'anxiety', 'nervousness', 'heart palpitations', 'difficult breathing']",True,mixed
Topiramate,Seizure Prevention,5,"['drowsiness', 'excessive daytime sleepiness', 'afternoon fatigue']",True,mixed
Suprep Bowel Prep Kit,Bowel Preparation,9,[],True,positive
Amphetamine / dextroamphetamine,Narcolepsy,10,"['anxiety', 'jitteriness']",True,positive
Ondansetron,Nausea/Vomiting,7,[],True,positive
Brimonidine,Rosacea,1,"['rebound flushing', 'facial erythema', 'facial burning sensation']",True,negative
Etonogestrel,Birth Control,5,"['vaginal bleeding', 'prolonged bleeding']",,positive
Dextroamphetamine,ADHD,9,[],True,positive
Lidocaine,Pain,8,['patches not adhering to skin'],True,positive
Phentermine,Weight Loss,10,['increased hunger'],True,positive
Mirena,Birth Control,4,"['insertion pain', 'emotional distress', 'prolonged bleeding', 'heavy bleeding']",,negative
Naproxen,Osteoarthritis,5,[],True,positive
Escitalopram,Generalized Anxiety Disorde,9,"['nausea/vomiting', 'syncope (passing out)', 'anxiety']",True,positive
Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,10,"['nausea', 'headaches']",True,positive
Levonorgestrel,Birth Control,6,"['rash', 'itching', 'weight gain']",False,negative
Oxycodone,Not Listed / Othe,10,[],True,positive
ParaGard,Birth Control,10,"['cramping during insertion', 'cramping post-insertion', 'light discharge']",True,positive
Boniva,Osteoporosis,1,"['severe chest pain', 'throat pain', 'jaw pain', 'high fevers', 'chills']",False,negative
Blisovi 24 Fe,Birth Control,1,"['weight gain', 'acne', 'abnormal bleeding', 'headaches', 'jitters']",False,negative
Vilazodone,Major Depressive Disorde,1,"['worsened depression', 'irritability', 'emotional lability', 'suicidal ideation', 'aggression']",False,negative
Movantik,"Constipation, Drug Induced",6,"['decreased bowel movement frequency', 'gas', 'stomach cramps']",True,positive
Levitra,Erectile Dysfunction,10,[],True,positive
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,4,"['disgusting taste', 'nausea', 'bloating']",True,negative
Levomilnacipran,Depression,8,[],True,positive
Phentermine,Weight Loss,10,"['severe dry mouth', 'hunger', 'mood changes']",True,positive
Abilify,Schizophrenia,9,['excessive sedation/increased sleep'],True,positive
Necon 1 / 35,Birth Control,9,"['spotting', 'frequent menstruation']",True,positive
Temazepam,Insomnia,1,"['insomnia', 'sleep fragmentation', 'inability to stay asleep', 'sleep deprivation']",False,negative
Topamax,Migraine Prevention,6,"['acne', 'excessive confidence', 'impulsivity', 'reduced filter/disinhibition', 'behavioral changes', 'personality changes']",True,mixed
Polyethylene glycol 3350 with electrolytes,Bowel Preparation,8,"['unpleasant taste', 'nausea', 'difficulty tolerating medication']",True,mixed
Viibryd,Depression,1,"['violent behavior', 'anger', 'mania', 'paranoia', 'aggression', 'physical violence']",False,negative
Quillivant XR,ADHD,5,"['anxiety', 'paranoia', 'fear', 'hyperstartle response', 'nightmares']",False,negative
Chantix,Smoking Cessation,4,"['behavioral changes', 'emotional instability', 'crying', 'mood disturbances', 'increased urge to drink']",True,mixed
Venlafaxine,Depression,9,[],True,positive
NuvaRing,Birth Control,9,"['weight gain', 'bloating']",True,positive
Buprenorphine / naloxone,Opiate Dependence,9,"['withdrawal symptoms', 'chills', 'flu-like symptoms', 'anxiety', 'insomnia', 'headache', 'nausea', 'loss of appetite']",True,positive
Concerta,ADHD,1,"['insomnia', 'restlessness', 'akathisia', 'involuntary mouth movements', 'jitteriness']",True,mixed
Mirtazapine,Major Depressive Disorde,3,"['exhaustion', 'excessive sleep', 'hypersomnia', 'increased appetite', 'weight gain', 'drowsiness', 'dizziness', 'vertigo', 'unsteadiness', 'floating sensation']",True,negative
Prozac,Depression,10,[],True,positive
Diphenhydramine,Allergic Reactions,6,"['allergy', 'leg heat sensation', 'restless legs', 'hives']",,mixed
Flagyl,Diverticulitis,9,['diarrhea'],True,mixed
Dexmethylphenidate,ADHD,1,"['lack of focus', 'inattention', 'hyperactivity', 'distractibility', 'nail biting']",False,negative
Valium,Anxiety,10,"['difficulty withdrawing', 'withdrawal symptoms']",True,mixed
Phenelzine,Depression,9,"['difficult psychological disturbances', 'difficult physiological disturbances', 'withdrawal symptoms']",True,positive
Emetrol,Nausea/Vomiting,10,[],True,positive
Naproxen,Sciatica,9,"['difficulty swallowing', 'nausea']",True,positive
Nora-Be,Endometriosis,9,"['weight gain', 'laziness', 'anxiety', 'depression']",True,mixed
Montelukast,"Asthma, Maintenance",2,"['feet and ankles swelling', 'hand and feet numbness', 'elevated eosinophils']",True,mixed
Reclipsen,Birth Control,5,"['weight gain', 'mood swings', 'emotional lability', 'excessive crying', 'acne']",True,negative
Pegloticase,Gout,9,[],True,positive
Lo Loestrin Fe,Birth Control,1,"['heavy bleeding', 'cramping', 'hot flashes', 'mood swings']",False,negative
Brisdelle,Hot Flashes,1,"['achiness', 'dizziness', 'weakness', 'hypotension', 'bradycardia', 'vomiting', 'profuse sweating', 'severe knee pain']",False,negative
Meloxicam,Inflammatory Conditions,9,[],True,positive
Corticotropin,Multiple Sclerosis,10,[],True,positive
Levonorgestrel,Emergency Contraception,10,"['fatigue', 'anxiety']",True,positive
Implanon,Birth Control,4,"['social withdrawal', 'lack of motivation for classes', 'weight gain', 'acne', 'loss of libido', 'fatigue', 'personality changes']",True,negative
Estradiol,Atrophic Vaginitis,9,[],True,positive
Augmentin,Skin or Soft Tissue Infection,5,"['headache', 'gas', 'bloating', 'stomach upset', 'vomiting']",,negative
Docosanol,Herpes Simplex,1,"['spreading of cold sores', 'increased number of cold sores']",False,negative
Diflucan,Vaginal Yeast Infection,1,"['red patch on cheek', 'burning', 'itching']",False,negative
Invokana,"Diabetes, Type 2",9,['yeast infection'],True,positive
Etonogestrel,Birth Control,1,"['prolonged menstruation', 'breast pain', 'breast discharge', 'fatigue', 'acne', 'pain during removal']",False,negative
Reclast,Osteoporosis,1,['bone pain'],,negative
Vortioxetine,Depression,8,"['nausea', 'anorexia', 'fatigue', 'excessive tiredness']",True,positive
Codeine,Pain,10,[],True,positive
Gabapentin,Trigeminal Neuralgia,10,[],True,positive
Zoloft,Panic Disorde,10,"['emotional blunting', 'emotionless feeling']",True,positive
Remicade,Rheumatoid Arthritis,9,[],True,positive
Testosterone,"Hypogonadism, Male",9,[],True,positive
Homatropine / hydrocodone,Cough,1,"['wired/agitation', 'insomnia', 'dry mouth']",False,negative
Cialis,Erectile Dysfunction,9,['unwanted erections'],True,positive
Varenicline,Smoking Cessation,10,"['excessive sleepiness', 'sleep disturbance']",True,positive
Clomipramine,Obsessive Compulsive Disorde,10,['dry mouth'],True,positive
Tacrolimus,Atopic Dermatitis,9,"['burning sensation', 'facial flushing', 'eyelid swelling', 'periorbital edema', 'alcohol interaction reaction']",True,mixed
Etonogestrel,Birth Control,3,"['arm numbness', 'fatigue', 'irritability', 'weight stability issues']",True,mixed
Saxenda,Obesity,8,"['migraine', 'appetite suppression', 'dizziness', 'constipation', 'stinging at injection site']",True,positive
Sunitinib,Renal Cell Carcinoma,10,[],True,positive
Trintellix,Major Depressive Disorde,7,"['upset stomach', 'constipation']",True,positive
Finacea,Rosacea,2,[],True,negative
Jalyn,Benign Prostatic Hyperplasia,8,"['nocturia', 'retrograde ejaculation']",True,positive
Acamprosate,Alcohol Dependence,10,[],True,positive
Pegloticase,Gout,10,[],True,positive
Varenicline,Smoking Cessation,9,"['nausea', 'vivid dreams', 'fatigue', 'racing thoughts at night']",True,positive
Sertraline,Social Anxiety Disorde,6,[],True,mixed
Venlafaxine,Anxiety and Stress,10,['strange dreams'],True,positive
Carbamazepine,Trigeminal Neuralgia,8,"['fatigue', 'cognitive dulling', 'sedation']",True,positive
Reclast,Osteoporosis,9,[],True,positive
Tioconazole,Vaginal Yeast Infection,1,"['itching', 'burning', 'product leakage']",False,negative
Isotretinoin,Acne,9,"['dry skin', 'chapped lips', 'bleeding lips']",True,positive
Nexplanon,Birth Control,1,"['weight gain', 'bloating', 'severe acne', 'stretch marks', 'mood swings', 'heavy periods', 'severe menstrual symptoms', 'spotting', 'depression']",False,negative
Doxepin,Insomnia,10,[],True,positive
Paroxetine,Hot Flashes,10,"['fatigue', 'brain fog']",True,positive
Ethinyl estradiol / levonorgestrel,Birth Control,10,"['pain', 'excessive sleeping', 'decreased appetite', 'breakthrough bleeding', 'prolonged bleeding']",True,positive
Bupropion,Smoking Cessation,8,"['dry mouth', 'tinnitus']",,negative
Paroxetine,Social Anxiety Disorde,8,"['drowsiness', 'increased sweating']",True,positive
Sertraline,Major Depressive Disorde,10,['weight gain'],True,positive
Vyvanse,ADHD,7,[],True,positive
Leuprolide,Endometriosis,1,"['severe menopausal symptoms', 'mood swings', 'suicidal ideation', 'weight gain', 'early menopause', 'acute hypertension', 'stroke risk']",True,negative
Ortho Evra,Birth Control,9,"['breast soreness', 'breast enlargement', 'skin itching']",True,positive
Linzess,"Constipation, Chronic",10,['diarrhea'],True,positive
Implanon,Birth Control,9,['arm pain'],True,positive
Estradiol / levonorgestrel,Postmenopausal Symptoms,8,[],True,positive
Depo-Provera,Abnormal Uterine Bleeding,8,"['irregular bleeding', 'heavy bleeding', 'anxiety']",True,mixed
Levonorgestrel,Abnormal Uterine Bleeding,9,[],True,positive
Escitalopram,Depression,8,[],True,positive
Moxifloxacin,Bronchitis,6,"['Achilles tendon pain', 'Achilles tendon swelling', 'difficulty walking']",True,mixed
Paroxetine,Panic Disorde,10,[],True,positive
Nexplanon,Birth Control,3,"['severe mood swings', 'irregular menstruation', 'prolonged menstruation']",False,negative
Levetiracetam,Seizures,5,"['sedation', 'excessive sleep', 'mood swings', 'depression', 'anger', 'suicidal ideation']",True,mixed
Etonogestrel,Birth Control,5,"['spotting', 'hair loss', 'weight gain']",False,negative
Caffeine,Hypersomnia,9,"['insomnia', 'sleep disturbance']",True,positive
Levonorgestrel,Birth Control,8,"['mild cramping (insertion)', 'irregular periods', 'spotting', 'acne']",True,positive
Salicylic acid / sulfur,Acne,10,[],True,positive
Megace ES,Weight Loss,10,"['weight loss', 'anorexia']",True,positive
Abreva,Herpes Simplex,5,"['worsening of sore', 'increased sore size']",False,negative
Dulcolax,Constipation,1,"['severe nausea', 'vomiting', 'fear of death']",True,negative
Aluminum chloride hexahydrate,Hyperhidrosis,8,"['skin burning', 'ineffective on hands', 'ineffective on feet']",True,positive
Phenergan,Nausea/Vomiting,6,"['fatigue', 'excessive tiredness']",True,mixed
Hydroxyzine,Anxiety,6,[],True,positive
Paxil,Anxiety,9,[],True,positive
Venlafaxine,Depression,10,[],True,positive
Tessalon Perles,Cough,9,[],True,positive
Pristiq,Depression,9,"['decreased libido', 'sexual dysfunction']",True,positive
Wellbutrin,Depression,3,"['memory problems', 'concentration problems', 'false memories', 'hallucinations (with Paxil)']",True,mixed
Phentermine,Weight Loss,10,"['dry mouth', 'insomnia', 'excessive energy']",True,positive
Ortho Tri-Cyclen Lo,Birth Control,10,[],True,positive
Sertraline,Obsessive Compulsive Disorde,10,[],True,mixed
Bisacodyl,Constipation,1,['severe cramps'],False,negative
Olanzapine,Tourette's Syndrome,9,"['weight gain', 'type II diabetes', 'pre-diabetes']",True,positive
Adapalene / benzoyl peroxide,Acne,8,[],True,positive
Acetaminophen / oxycodone,Pain,10,[],True,positive
Cetirizine,Urticaria,9,['drowsiness'],True,positive
Paxil,Postmenopausal Symptoms,4,[],True,positive
Armodafinil,ibromyalgia,10,[],True,positive
Victoza,"Diabetes, Type 2",10,[],True,positive
Drixoral Cold and Allergy,Sinus Symptoms,10,[],True,positive
Abilify,Schizoaffective Disorde,7,"['tardive dyskinesia', 'restlessness', 'parkinsonian symptoms', 'embarrassment', 'difficulty with fine motor tasks']",True,mixed
